Days from today,Price
0,$430
1,$241
2,$186
3,$164
4,$367
5,$219
6,$241
7,$186
8,$130
9,$97
10,$119
11,$169
12,$164
13,$202
14,$164
15,$97
16,$97
17,$119
18,$169
19,$130
20,$243
21,$141
22,$97
23,$97
24,$125
25,$169
26,$147
27,$243
28,$141
29,$114
30,$114
31,$130
32,$169
33,$164
34,$243
35,$169
36,$130
37,$130
38,$147
39,$169
40,$164
41,$243
42,$147
43,$130
44,$130
45,$130
46,$169
47,$164
48,$243
49,$147
50,$130
51,$130
52,$130
53,$169
54,$147
55,$243
56,$147
57,$130
58,$130
59,$130
60,$169
61,$164
62,$243
63,$169
64,$130
65,$130
66,$130
67,$169
68,$147
69,$243
70,$147
71,$130
72,$130
73,$130
74,$169
75,$147
76,$202
77,$147
78,$130
79,$130
80,$130
81,$169
82,$147
83,$202
84,$147
85,$130
86,$130
87,$130
88,$169
89,$147
90,$202
91,$147
92,$130
93,$130
94,$130
95,$169
96,$147
97,$169
98,$169
99,$130
100,$130
101,$147
102,$225
103,$169
104,$169
105,$130
106,$130
107,$130
108,$130
109,$169
110,$147
